phase,sample,h,m,scenario,inner_us,applied,duplicates,pending,pending_before,pending_after
after,1,0,1,complete,58.381,1,0,0,0,0
after,1,0,1,duplicate-only,12.165000000000001,0,1,0,0,0
after,1,0,1,pending-only,27.135,0,0,1,0,1
after,1,0,1,conflicting-identity,0,-,-,-,0,0
after,1,0,10,complete,103.36,10,0,0,0,0
after,1,0,10,duplicate-only,46.939,0,10,0,0,0
after,1,0,10,pending-only,63.126000000000005,0,0,10,0,10
after,1,0,10,conflicting-identity,0,-,-,-,0,0
after,1,0,100,complete,800.436,100,0,0,0,0
after,1,0,100,duplicate-only,491.825,0,100,0,0,0
after,1,0,100,pending-only,586.227,0,0,100,0,100
after,1,0,100,conflicting-identity,0,-,-,-,0,0
after,1,0,1,dependency-drain,23.535,2,0,0,1,0
after,1,1000,1,complete,21.646,1,0,0,0,0
after,1,1000,1,duplicate-only,24.219,0,1,0,0,0
after,1,1000,1,pending-only,26.23,0,0,1,0,1
after,1,1000,1,conflicting-identity,23.576,-,-,-,0,0
after,1,1000,10,complete,122.873,10,0,0,0,0
after,1,1000,10,duplicate-only,87.022,0,10,0,0,0
after,1,1000,10,pending-only,100.233,0,0,10,0,10
after,1,1000,10,conflicting-identity,48.559,-,-,-,0,0
after,1,1000,100,complete,997.856,100,0,0,0,0
after,1,1000,100,duplicate-only,488.055,0,100,0,0,0
after,1,1000,100,pending-only,733.198,0,0,100,0,100
after,1,1000,100,conflicting-identity,26.079,-,-,-,0,0
after,1,1000,1,dependency-drain,37.49,2,0,0,1,0
after,1,10000,1,complete,49.051,1,0,0,0,0
after,1,10000,1,duplicate-only,194.092,0,1,0,0,0
after,1,10000,1,pending-only,43.632,0,0,1,0,1
after,1,10000,1,conflicting-identity,142.43800000000002,-,-,-,0,0
after,1,10000,10,complete,119.154,10,0,0,0,0
after,1,10000,10,duplicate-only,183.415,0,10,0,0,0
after,1,10000,10,pending-only,99.931,0,0,10,0,10
after,1,10000,10,conflicting-identity,122.27,-,-,-,0,0
after,1,10000,100,complete,823.86,100,0,0,0,0
after,1,10000,100,duplicate-only,595.567,0,100,0,0,0
after,1,10000,100,pending-only,759.107,0,0,100,0,100
after,1,10000,100,conflicting-identity,121.345,-,-,-,0,0
after,1,10000,1,dependency-drain,75.592,2,0,0,1,0
after,1,100000,1,complete,63.955,1,0,0,0,0
after,1,100000,1,duplicate-only,1196.704,0,1,0,0,0
after,1,100000,1,pending-only,59.179,0,0,1,0,1
after,1,100000,1,conflicting-identity,1286.843,-,-,-,0,0
after,1,100000,10,complete,203.448,10,0,0,0,0
after,1,100000,10,duplicate-only,1877.74,0,10,0,0,0
after,1,100000,10,pending-only,154.63400000000001,0,0,10,0,10
after,1,100000,10,conflicting-identity,1189.271,-,-,-,0,0
after,1,100000,100,complete,1250.125,100,0,0,0,0
after,1,100000,100,duplicate-only,2010.795,0,100,0,0,0
after,1,100000,100,pending-only,1160.183,0,0,100,0,100
after,1,100000,100,conflicting-identity,1498.164,-,-,-,0,0
after,1,100000,1,dependency-drain,61.449,2,0,0,1,0
after,2,0,1,complete,102.884,1,0,0,0,0
after,2,0,1,duplicate-only,22.879,0,1,0,0,0
after,2,0,1,pending-only,36.345,0,0,1,0,1
after,2,0,1,conflicting-identity,0,-,-,-,0,0
after,2,0,10,complete,151.028,10,0,0,0,0
after,2,0,10,duplicate-only,51.128,0,10,0,0,0
after,2,0,10,pending-only,69.196,0,0,10,0,10
after,2,0,10,conflicting-identity,0,-,-,-,0,0
after,2,0,100,complete,1095.489,100,0,0,0,0
after,2,0,100,duplicate-only,620.643,0,100,0,0,0
after,2,0,100,pending-only,628.548,0,0,100,0,100
after,2,0,100,conflicting-identity,0,-,-,-,0,0
after,2,0,1,dependency-drain,26.233,2,0,0,1,0
after,2,1000,1,complete,25.614,1,0,0,0,0
after,2,1000,1,duplicate-only,27.91,0,1,0,0,0
after,2,1000,1,pending-only,25.604,0,0,1,0,1
after,2,1000,1,conflicting-identity,15.602,-,-,-,0,0
after,2,1000,10,complete,99.151,10,0,0,0,0
after,2,1000,10,duplicate-only,71.352,0,10,0,0,0
after,2,1000,10,pending-only,83,0,0,10,0,10
after,2,1000,10,conflicting-identity,28.488,-,-,-,0,0
after,2,1000,100,complete,1007.316,100,0,0,0,0
after,2,1000,100,duplicate-only,478.777,0,100,0,0,0
after,2,1000,100,pending-only,701.417,0,0,100,0,100
after,2,1000,100,conflicting-identity,27.819,-,-,-,0,0
after,2,1000,1,dependency-drain,33.779,2,0,0,1,0
after,2,10000,1,complete,83.45,1,0,0,0,0
after,2,10000,1,duplicate-only,223.248,0,1,0,0,0
after,2,10000,1,pending-only,64.205,0,0,1,0,1
after,2,10000,1,conflicting-identity,164.674,-,-,-,0,0
after,2,10000,10,complete,210.579,10,0,0,0,0
after,2,10000,10,duplicate-only,170.64000000000001,0,10,0,0,0
after,2,10000,10,pending-only,125.796,0,0,10,0,10
after,2,10000,10,conflicting-identity,120.717,-,-,-,0,0
after,2,10000,100,complete,947.726,100,0,0,0,0
after,2,10000,100,duplicate-only,538.777,0,100,0,0,0
