phase,sample,h,m,scenario,inner_us,applied,duplicates,pending,pending_before,pending_after
before,1,0,1,complete,66.971,1,0,0,0,0
before,1,0,1,duplicate-only,10.116,0,1,0,0,0
before,1,0,1,pending-only,13.645,0,0,1,0,1
before,1,0,1,conflicting-identity,0,-,-,-,0,0
before,1,0,10,complete,153,10,0,0,0,0
before,1,0,10,duplicate-only,52.514,0,10,0,0,0
before,1,0,10,pending-only,64.484,0,0,10,0,10
before,1,0,10,conflicting-identity,0,-,-,-,0,0
before,1,0,100,complete,1327.428,100,0,0,0,0
before,1,0,100,duplicate-only,544.059,0,100,0,0,0
before,1,0,100,pending-only,587.399,0,0,100,0,100
before,1,0,100,conflicting-identity,0,-,-,-,0,0
before,1,0,1,dependency-drain,24.422,1,0,0,0,0
before,1,1000,1,complete,1281.741,1,0,0,0,0
before,1,1000,1,duplicate-only,1194.699,0,1,0,0,0
before,1,1000,1,pending-only,1134.064,0,0,1,0,1
before,1,1000,1,conflicting-identity,892.9680000000001,-,-,-,0,0
before,1,1000,10,complete,1411.622,10,0,0,0,0
before,1,1000,10,duplicate-only,1201.857,0,10,0,0,0
before,1,1000,10,pending-only,1245.799,0,0,10,0,10
before,1,1000,10,conflicting-identity,883.745,-,-,-,0,0
before,1,1000,100,complete,2675.216,100,0,0,0,0
before,1,1000,100,duplicate-only,1768.723,0,100,0,0,0
before,1,1000,100,pending-only,1897.382,0,0,100,0,100
before,1,1000,100,conflicting-identity,910.995,-,-,-,0,0
before,1,1000,1,dependency-drain,2301.241,1,0,0,0,0
before,1,10000,1,complete,15802.302,1,0,0,0,0
before,1,10000,1,duplicate-only,16084.031,0,1,0,0,0
before,1,10000,1,pending-only,14081.471,0,0,1,0,1
before,1,10000,1,conflicting-identity,13550.125,-,-,-,0,0
before,1,10000,10,complete,14459.286,10,0,0,0,0
before,1,10000,10,duplicate-only,14418.818000000001,0,10,0,0,0
before,1,10000,10,pending-only,13263.998,0,0,10,0,10
before,1,10000,10,conflicting-identity,12068.299,-,-,-,0,0
before,1,10000,100,complete,14281.653,100,0,0,0,0
before,1,10000,100,duplicate-only,13539.722,0,100,0,0,0
before,1,10000,100,pending-only,14292.457,0,0,100,0,100
before,1,10000,100,conflicting-identity,12361.891,-,-,-,0,0
before,1,10000,1,dependency-drain,16498.745,1,0,0,0,0
before,1,100000,1,complete,225982.138,1,0,0,0,0
before,1,100000,1,duplicate-only,233721.032,0,1,0,0,0
before,1,100000,1,pending-only,207766.152,0,0,1,0,1
before,1,100000,1,conflicting-identity,183915.971,-,-,-,0,0
before,1,100000,10,complete,222409.961,10,0,0,0,0
before,1,100000,10,duplicate-only,211408.698,0,10,0,0,0
before,1,100000,10,pending-only,217118.717,0,0,10,0,10
before,1,100000,10,conflicting-identity,178263.384,-,-,-,0,0
before,1,100000,100,complete,219615.339,100,0,0,0,0
before,1,100000,100,duplicate-only,218282.01399999997,0,100,0,0,0
before,1,100000,100,pending-only,220629.159,0,0,100,0,100
before,1,100000,100,conflicting-identity,181790.939,-,-,-,0,0
before,1,100000,1,dependency-drain,216013.47,1,0,0,0,0
before,2,0,1,complete,61.219,1,0,0,0,0
before,2,0,1,duplicate-only,9.827,0,1,0,0,0
before,2,0,1,pending-only,13.365,0,0,1,0,1
before,2,0,1,conflicting-identity,0,-,-,-,0,0
before,2,0,10,complete,148.668,10,0,0,0,0
before,2,0,10,duplicate-only,54.501,0,10,0,0,0
before,2,0,10,pending-only,65.797,0,0,10,0,10
before,2,0,10,conflicting-identity,0,-,-,-,0,0
before,2,0,100,complete,1306.626,100,0,0,0,0
before,2,0,100,duplicate-only,522.468,0,100,0,0,0
before,2,0,100,pending-only,624.613,0,0,100,0,100
before,2,0,100,conflicting-identity,0,-,-,-,0,0
before,2,0,1,dependency-drain,25.081,1,0,0,0,0
before,2,1000,1,complete,1210.239,1,0,0,0,0
before,2,1000,1,duplicate-only,1160.556,0,1,0,0,0
before,2,1000,1,pending-only,1215.777,0,0,1,0,1
before,2,1000,1,conflicting-identity,922.0690000000001,-,-,-,0,0
before,2,1000,10,complete,1386.638,10,0,0,0,0
