phase,sample,h,m,scenario,inner_us,applied,duplicates,pending,pending_before,pending_after
after,1,0,1,complete,80.873,1,0,0,0,0
after,1,0,1,duplicate-only,22.537,0,1,0,0,0
after,1,0,1,pending-only,35.489,0,0,1,0,1
after,1,0,1,conflicting-identity,0,-,-,-,0,0
after,1,0,10,complete,136.237,10,0,0,0,0
after,1,0,10,duplicate-only,53.085,0,10,0,0,0
after,1,0,10,pending-only,78.321,0,0,10,0,10
after,1,0,10,conflicting-identity,0,-,-,-,0,0
after,1,0,100,complete,851.105,100,0,0,0,0
after,1,0,100,duplicate-only,511.541,0,100,0,0,0
after,1,0,100,pending-only,587.813,0,0,100,0,100
after,1,0,100,conflicting-identity,0,-,-,-,0,0
after,1,0,1,dependency-drain,23.136,2,0,0,1,0
after,1,1000,1,complete,24.637,1,0,0,0,0
after,1,1000,1,duplicate-only,22.147000000000002,0,1,0,0,0
after,1,1000,1,pending-only,24.777,0,0,1,0,1
after,1,1000,1,conflicting-identity,24.737000000000002,-,-,-,0,0
after,1,1000,10,complete,95.007,10,0,0,0,0
after,1,1000,10,duplicate-only,66.678,0,10,0,0,0
after,1,1000,10,pending-only,80.283,0,0,10,0,10
after,1,1000,10,conflicting-identity,21.456,-,-,-,0,0
after,1,1000,100,complete,833.0600000000001,100,0,0,0,0
after,1,1000,100,duplicate-only,478.952,0,100,0,0,0
after,1,1000,100,pending-only,651.19,0,0,100,0,100
after,1,1000,100,conflicting-identity,23.627,-,-,-,0,0
after,1,1000,1,dependency-drain,31.698,2,0,0,1,0
after,1,10000,1,complete,64.648,1,0,0,0,0
after,1,10000,1,duplicate-only,180.46,0,1,0,0,0
after,1,10000,1,pending-only,45.333,0,0,1,0,1
after,1,10000,1,conflicting-identity,109.028,-,-,-,0,0
after,1,10000,10,complete,167.637,10,0,0,0,0
after,1,10000,10,duplicate-only,175.068,0,10,0,0,0
after,1,10000,10,pending-only,94.72500000000001,0,0,10,0,10
after,1,10000,10,conflicting-identity,101.607,-,-,-,0,0
after,1,10000,100,complete,815.4440000000001,100,0,0,0,0
after,1,10000,100,duplicate-only,479.31,0,100,0,0,0
after,1,10000,100,pending-only,652.293,0,0,100,0,100
after,1,10000,100,conflicting-identity,167.961,-,-,-,0,0
after,1,10000,1,dependency-drain,43.435,2,0,0,1,0
after,1,100000,1,complete,53.372,1,0,0,0,0
after,1,100000,1,duplicate-only,1297.883,0,1,0,0,0
after,1,100000,1,pending-only,57.042,0,0,1,0,1
after,1,100000,1,conflicting-identity,1227.914,-,-,-,0,0
after,1,100000,10,complete,153.98,10,0,0,0,0
after,1,100000,10,duplicate-only,1283.333,0,10,0,0,0
after,1,100000,10,pending-only,135.62800000000001,0,0,10,0,10
after,1,100000,10,conflicting-identity,1343.665,-,-,-,0,0
after,1,100000,100,complete,1148.852,100,0,0,0,0
after,1,100000,100,duplicate-only,1779.118,0,100,0,0,0
after,1,100000,100,pending-only,924.841,0,0,100,0,100
after,1,100000,100,conflicting-identity,1268.6390000000001,-,-,-,0,0
after,1,100000,1,dependency-drain,59.96,2,0,0,1,0
after,2,0,1,complete,56.917,1,0,0,0,0
after,2,0,1,duplicate-only,12.635,0,1,0,0,0
after,2,0,1,pending-only,23.738,0,0,1,0,1
after,2,0,1,conflicting-identity,0,-,-,-,0,0
after,2,0,10,complete,96.393,10,0,0,0,0
after,2,0,10,duplicate-only,61.119,0,10,0,0,0
after,2,0,10,pending-only,59.809000000000005,0,0,10,0,10
after,2,0,10,conflicting-identity,0,-,-,-,0,0
after,2,0,100,complete,765.284,100,0,0,0,0
after,2,0,100,duplicate-only,475.942,0,100,0,0,0
after,2,0,100,pending-only,539.943,0,0,100,0,100
after,2,0,100,conflicting-identity,0,-,-,-,0,0
after,2,0,1,dependency-drain,21.421,2,0,0,1,0
after,2,1000,1,complete,18.871,1,0,0,0,0
after,2,1000,1,duplicate-only,21.632,0,1,0,0,0
after,2,1000,1,pending-only,22.237000000000002,0,0,1,0,1
after,2,1000,1,conflicting-identity,14.801,-,-,-,0,0
after,2,1000,10,complete,85.834,10,0,0,0,0
after,2,1000,10,duplicate-only,60.736000000000004,0,10,0,0,0
after,2,1000,10,pending-only,72.283,0,0,10,0,10
after,2,1000,10,conflicting-identity,13.733,-,-,-,0,0
after,2,1000,100,complete,822.563,100,0,0,0,0
after,2,1000,100,duplicate-only,424.99,0,100,0,0,0
after,2,1000,100,pending-only,584.396,0,0,100,0,100
after,2,1000,100,conflicting-identity,14.851,-,-,-,0,0
after,2,1000,1,dependency-drain,24.666,2,0,0,1,0
after,2,10000,1,complete,47.416000000000004,1,0,0,0,0
after,2,10000,1,duplicate-only,110.60000000000001,0,1,0,0,0
after,2,10000,1,pending-only,45.189,0,0,1,0,1
after,2,10000,1,conflicting-identity,160.404,-,-,-,0,0
after,2,10000,10,complete,110.741,10,0,0,0,0
after,2,10000,10,duplicate-only,178.208,0,10,0,0,0
after,2,10000,10,pending-only,111.507,0,0,10,0,10
after,2,10000,10,conflicting-identity,122.852,-,-,-,0,0
after,2,10000,100,complete,756.951,100,0,0,0,0
after,2,10000,100,duplicate-only,611.237,0,100,0,0,0
after,2,10000,100,pending-only,646.24,0,0,100,0,100
after,2,10000,100,conflicting-identity,128.091,-,-,-,0,0
after,2,10000,1,dependency-drain,54.02,2,0,0,1,0
after,2,100000,1,complete,55.289,1,0,0,0,0
after,2,100000,1,duplicate-only,1659.8120000000001,0,1,0,0,0
after,2,100000,1,pending-only,107.183,0,0,1,0,1
after,2,100000,1,conflicting-identity,1316.294,-,-,-,0,0
after,2,100000,10,complete,154.835,10,0,0,0,0
after,2,100000,10,duplicate-only,1419.651,0,10,0,0,0
after,2,100000,10,pending-only,135.492,0,0,10,0,10
after,2,100000,10,conflicting-identity,1235.074,-,-,-,0,0
after,2,100000,100,complete,1209.99,100,0,0,0,0
after,2,100000,100,duplicate-only,1801.576,0,100,0,0,0
after,2,100000,100,pending-only,962.506,0,0,100,0,100
after,2,100000,100,conflicting-identity,1163.576,-,-,-,0,0
after,2,100000,1,dependency-drain,60.578,2,0,0,1,0
after,3,0,1,complete,54.993,1,0,0,0,0
after,3,0,1,duplicate-only,12.66,0,1,0,0,0
after,3,0,1,pending-only,31.585,0,0,1,0,1
after,3,0,1,conflicting-identity,0,-,-,-,0,0
after,3,0,10,complete,98.438,10,0,0,0,0
after,3,0,10,duplicate-only,43.674,0,10,0,0,0
after,3,0,10,pending-only,57.175000000000004,0,0,10,0,10
after,3,0,10,conflicting-identity,0,-,-,-,0,0
after,3,0,100,complete,791.492,100,0,0,0,0
after,3,0,100,duplicate-only,451.334,0,100,0,0,0
after,3,0,100,pending-only,545.499,0,0,100,0,100
after,3,0,100,conflicting-identity,0,-,-,-,0,0
after,3,0,1,dependency-drain,21.166,2,0,0,1,0
after,3,1000,1,complete,19.476,1,0,0,0,0
after,3,1000,1,duplicate-only,16.56,0,1,0,0,0
after,3,1000,1,pending-only,19.953,0,0,1,0,1
after,3,1000,1,conflicting-identity,14.279,-,-,-,0,0
after,3,1000,10,complete,80.919,10,0,0,0,0
after,3,1000,10,duplicate-only,55.814,0,10,0,0,0
after,3,1000,10,pending-only,72.864,0,0,10,0,10
after,3,1000,10,conflicting-identity,13.878,-,-,-,0,0
after,3,1000,100,complete,785.263,100,0,0,0,0
after,3,1000,100,duplicate-only,404.474,0,100,0,0,0
after,3,1000,100,pending-only,564.961,0,0,100,0,100
after,3,1000,100,conflicting-identity,14.348,-,-,-,0,0
after,3,1000,1,dependency-drain,23.735,2,0,0,1,0
after,3,10000,1,complete,42.135,1,0,0,0,0
after,3,10000,1,duplicate-only,486.833,0,1,0,0,0
after,3,10000,1,pending-only,45.057,0,0,1,0,1
after,3,10000,1,conflicting-identity,98.46000000000001,-,-,-,0,0
after,3,10000,10,complete,121.043,10,0,0,0,0
after,3,10000,10,duplicate-only,134.181,0,10,0,0,0
after,3,10000,10,pending-only,107.095,0,0,10,0,10
after,3,10000,10,conflicting-identity,94.557,-,-,-,0,0
after,3,10000,100,complete,728.0790000000001,100,0,0,0,0
after,3,10000,100,duplicate-only,568.863,0,100,0,0,0
after,3,10000,100,pending-only,680.4,0,0,100,0,100
after,3,10000,100,conflicting-identity,112.008,-,-,-,0,0
after,3,10000,1,dependency-drain,47.518,2,0,0,1,0
after,3,100000,1,complete,66.37,1,0,0,0,0
after,3,100000,1,duplicate-only,1185.16,0,1,0,0,0
after,3,100000,1,pending-only,58.721000000000004,0,0,1,0,1
after,3,100000,1,conflicting-identity,1287.136,-,-,-,0,0
after,3,100000,10,complete,144.547,10,0,0,0,0
after,3,100000,10,duplicate-only,1457.762,0,10,0,0,0
after,3,100000,10,pending-only,139.76500000000001,0,0,10,0,10
after,3,100000,10,conflicting-identity,1235.781,-,-,-,0,0
after,3,100000,100,complete,1224.766,100,0,0,0,0
after,3,100000,100,duplicate-only,1854.99,0,100,0,0,0
after,3,100000,100,pending-only,871.1320000000001,0,0,100,0,100
after,3,100000,100,conflicting-identity,1006.883,-,-,-,0,0
after,3,100000,1,dependency-drain,58.826,2,0,0,1,0
